Postcode District,Postcode,Latitude,Longitude,pollen_count
AB1,AB1 0AA,57.101473999999996,-2.242851,Low
AB10,AB10 1AA,57.14823199999999,-2.096648,Low
AB11,AB11 5AA,57.145897,-2.095221,Low
AB12,AB12 3AB,57.12785,-2.0955369999999998,Low
AB13,AB13 0AA,57.100768,-2.242854,Low
AB14,AB14 0DP,57.099802000000004,-2.269892,Low
AB15,AB15 4AA,57.144339,-2.129721,Low
AB16,AB16 5AB,57.153445999999995,-2.147753,Low
AB2,AB2 0AA,57.209454,-2.188584,Low
AB21,AB21 0AA,57.26037700000001,-2.15637,Low
AB22,AB22 8AA,57.176387,-2.1246560000000003,Low
AB23,AB23 8AA,57.185044,-2.096248,Low
AB24,AB24 1AQ,57.16800600000001,-2.0926150000000003,Low
AB25,AB25 1AD,57.149699,-2.104188,Low
AB3,AB3 1AA,56.833836,-2.464419,Low
AB30,AB30 1AA,56.833953,-2.464241,Low
AB31,AB31 3AA,57.079188,-2.34904,Low
AB32,AB32 6AA,57.156934,-2.29003,Low
AB33,AB33 8AA,57.231326,-2.6995669999999996,Low
AB34,AB34 4JA,57.10019000000001,-2.6421959999999998,Low
AB35,AB35 5AT,57.006632999999994,-3.3961620000000003,Low
AB36,AB36 8TG,57.196076,-3.03875,Low
AB37,AB37 9AA,57.40656,-3.363924,Low
AB38,AB38 7AA,57.526674,-3.210314,Low
AB39,AB39 2AA,56.964753,-2.2080900000000003,Low
AB4,AB4 0AA,57.32490799999999,-2.0009799999999998,Low
AB41,AB41 0AA,57.325097,-2.000715,Low
AB42,AB42 0DH,57.42270300000001,-1.912059,Low
AB43,AB43 1AB,57.691223,-2.005857,Low
AB44,AB44 1AA,57.661205,-2.488828,Low
AB45,AB45 1AA,57.664668000000006,-2.520701,Low
AB5,AB5 0AA,57.33483199999999,-2.31957,Low
AB51,AB51 0AA,57.335236,-2.319789,Low
AB52,AB52 6AB,57.3444,-2.540051,Low
AB53,AB53 4AA,57.537836999999996,-2.46018,Low
AB54,AB54 4AA,57.431211,-2.7458970000000003,Low
AB55,AB55 3AA,57.54051800000001,-2.9499049999999998,Low
AB56,AB56 1AA,57.671872,-2.963347,Low
AB9,AB9 1AA,57.14416600000001,-2.103644,Low
AB99,AB99 8AA,57.11134000000001,-2.0939919999999996,Low
AL1,AL1 1AA,51.749084,-0.341337,Low
AL10,AL10 0AA,51.764264000000004,-0.22625399999999998,Low
AL2,AL2 1AA,51.721102,-0.312364,Low
